seed,regime,placement_rate,ground_truth_fit,search_rounds,applications_per_hire,fill_rate,vacancy_duration,credential_sensitivity,investment_alignment,mean_step_gap_reduction,total_gap_reduction,evidence_conversion,task_acceptance,realized_gain,evidence_opportunity_gap
1000,R1,0.4583333333333333,0.6350552206575565,1.963636363636364,5.890909090909091,0.9166666666666666,2.5,0.1581139589860617,0.0812641083521444,0.0007855467008178,0.0028999765705191,0.0,0.0,0.0107191703752236,0.0666666666666666
1000,R2,0.45,0.6369075890460465,2.1481481481481484,6.444444444444445,0.9,2.833333333333333,0.1411802548746006,0.3370305676855895,0.0031024707009014,0.0098803118205092,0.0,0.5655021834061136,0.0158800473072695,0.2
1000,R3,0.4333333333333333,0.6418241642092752,2.1923076923076925,6.576923076923077,0.8666666666666667,3.0,0.1386629134449153,0.3325957446808511,0.0046843787933387,0.0154064495815682,0.0881458966565349,0.274468085106383,0.0224319010425829,0.0666666666666666
1001,R1,0.425,0.5934222874974043,2.117647058823529,6.352941176470588,0.85,3.2333333333333334,0.1851481330114448,0.0764331210191082,0.000712863929302,0.0027979909225103,0.0,0.0,0.0099737598882279,0.3333333333333333
1001,R2,0.4083333333333333,0.609908464004823,2.204081632653061,6.612244897959184,0.8166666666666667,3.1333333333333333,0.1750723863374732,0.3455670103092783,0.0030337311087463,0.0104107872653838,0.0,0.5670103092783505,0.0162442437421146,0.2666666666666666
1001,R3,0.3916666666666666,0.6172104912750083,2.191489361702128,6.574468085106383,0.7833333333333333,3.433333333333333,0.1666590912401179,0.3718623481781377,0.0053078888934046,0.0170909613335273,0.0790816326530612,0.2935222672064777,0.0252011007770111,0.3666666666666666
1002,R1,0.4166666666666667,0.6047863237199878,2.38,7.14,0.8333333333333334,3.033333333333333,0.1486827713002922,0.0674846625766871,0.0007849780325621,0.0031987854826907,0.0,0.0,0.0098799480929728,0.1666666666666666
1002,R2,0.4,0.6118328054664433,2.208333333333333,6.625,0.8,3.2666666666666666,0.1293757428132197,0.3249795918367346,0.0030786504782087,0.0106880078396891,0.0,0.536734693877551,0.016331743052564,0.0666666666666666
1002,R3,0.3916666666666666,0.6256828817872165,2.191489361702128,6.574468085106383,0.7833333333333333,3.1333333333333333,0.1405279421782402,0.3338663967611336,0.0042999132151293,0.0158387804460472,0.069164265129683,0.242914979757085,0.0206682150394648,0.1333333333333333
1003,R1,0.375,0.6265220909901917,1.8888888888888888,5.666666666666667,0.75,3.1,0.1934413968569715,0.0979591836734693,0.000960686563922,0.0039228034693482,0.0,0.0,0.010367197817075,0.2666666666666666
1003,R2,0.4416666666666666,0.6070653603370414,2.037735849056604,6.113207547169812,0.8833333333333333,2.566666666666667,0.1660176001572258,0.3862582056892779,0.0035151338075037,0.0107945951044127,0.0,0.5973741794310722,0.0166599649660607,0.3666666666666666
1003,R3,0.4333333333333333,0.6012184030227193,2.326923076923077,6.980769230769231,0.8666666666666667,2.7,0.1599267766976856,0.3425786163522013,0.0054019279080514,0.0188013222898583,0.086092715231788,0.3039832285115304,0.0230795202276684,0.2666666666666666
1004,R1,0.4083333333333333,0.6269718012674598,2.183673469387755,6.551020408163265,0.8166666666666667,3.2333333333333334,0.2036329397748933,0.0723140495867768,0.0008761723001726,0.0035338949440296,0.0,0.0,0.0115515431960364,0.0333333333333333
1004,R2,0.4333333333333333,0.6192661503456224,2.3846153846153846,7.153846153846154,0.8666666666666667,3.1666666666666665,0.1854266750896274,0.3488333333333333,0.0033481876954246,0.0108683535125569,0.0,0.5791666666666667,0.0174118302910876,0.0
1004,R3,0.4333333333333333,0.6159515948713984,2.2884615384615383,6.865384615384615,0.8666666666666667,3.033333333333333,0.1870405897864991,0.3477684210526315,0.0049878951782129,0.0169730778165916,0.0895953757225433,0.3178947368421053,0.0239550408022158,0.0
1005,R1,0.4166666666666667,0.5882515079612579,2.0,6.0,0.8333333333333334,2.7666666666666666,0.2047030945166012,0.0851063829787234,0.0008252460426357,0.0032322136669901,0.0,0.0,0.0106245915028023,0.3
1005,R2,0.4333333333333333,0.577536926214425,2.0576923076923075,6.173076923076923,0.8666666666666667,2.7333333333333334,0.1918889041374716,0.348596112311015,0.0031594580783212,0.0102271500411376,0.0,0.5961123110151187,0.0175887632916008,0.3666666666666666
1005,R3,0.4583333333333333,0.5745613748954046,2.327272727272727,6.9818181818181815,0.9166666666666666,2.966666666666667,0.1869946932470114,0.3433045356371491,0.0046705385746796,0.0148619047764566,0.1005586592178771,0.285097192224622,0.0243818046628317,0.2333333333333333
1006,R1,0.4333333333333333,0.586650888096569,2.1538461538461537,6.461538461538462,0.8666666666666667,2.6666666666666665,0.2065795808414314,0.0641025641025641,0.0007300922449682,0.0028473597553761,0.0,0.0,0.0107281170758021,0.2333333333333333
1006,R2,0.3833333333333333,0.5993006907338054,2.152173913043478,6.456521739130435,0.7666666666666667,3.633333333333333,0.1857891593519195,0.3346478873239436,0.0033736856499314,0.0118832549384132,0.0,0.5875251509054326,0.0180484853200977,0.2
1006,R3,0.425,0.5741466868867434,2.313725490196078,6.941176470588236,0.85,3.2666666666666666,0.1840659740452634,0.3411018711018711,0.0041673385388785,0.0143771463829914,0.0792349726775956,0.2681912681912682,0.0226271886012222,0.3333333333333333
1007,R1,0.4166666666666667,0.5849341461068128,2.14,6.42,0.8333333333333334,3.3,0.1611765877679211,0.0670859538784067,0.0010677078136151,0.0042441385591202,0.0,0.0,0.0111244724690611,0.2333333333333333
1007,R2,0.4416666666666666,0.5812883785300276,2.150943396226415,6.452830188679245,0.8833333333333333,2.933333333333333,0.1411123441891881,0.3598272138228941,0.0034293089299779,0.0114878423217605,0.0,0.5831533477321814,0.0171506794447461,0.1333333333333333
1007,R3,0.4083333333333333,0.5881478487779853,2.142857142857143,6.428571428571429,0.8166666666666667,3.433333333333333,0.1477365867886469,0.342344398340249,0.0044757552426702,0.0149672822768856,0.0744047619047619,0.2821576763485477,0.0218151262040445,0.1666666666666666
1008,R1,0.4166666666666667,0.5935664399362721,2.2,6.6,0.8333333333333334,3.0,0.1747251930027995,0.08125,0.0007963921915491,0.0031855687661965,0.0,0.0,0.0103493097527606,0.1666666666666666
1008,R2,0.4166666666666667,0.6028961956726161,2.18,6.54,0.8333333333333334,3.2,0.164276445802867,0.3495615866388308,0.0036118433895166,0.0125122465236162,0.0,0.5741127348643006,0.0179296659802702,0.1333333333333333
1008,R3,0.425,0.5995034291696328,2.156862745098039,6.470588235294118,0.85,2.8666666666666667,0.1658042708609373,0.3342071881606765,0.0049395532238492,0.0161458340494644,0.0790273556231003,0.2769556025369979,0.0233859565972427,0.0666666666666667
1009,R1,0.4666666666666667,0.5779116354940635,2.0,6.0,0.9333333333333332,2.466666666666667,0.186092772340556,0.075,0.0008779046755511,0.0032189838103541,0.0,0.0,0.0106650775441447,0.2333333333333333
1009,R2,0.4666666666666667,0.5915965120664178,2.4107142857142856,7.232142857142857,0.9333333333333332,2.6,0.1744641785229237,0.3498056155507559,0.0033498638341849,0.0112900572676186,0.0,0.5961123110151187,0.017683992158856,0.2
1009,R3,0.45,0.6033020056927809,2.314814814814815,6.944444444444445,0.9,3.0,0.1700351703010598,0.3389079229122055,0.0054404840427997,0.0176278407887807,0.0985074626865671,0.3404710920770878,0.0260718208260531,0.1333333333333333
1010,R1,0.4166666666666667,0.5660663912441144,2.28,6.84,0.8333333333333334,3.1,0.1842810864091097,0.0640495867768595,0.000884807951551,0.0035687254045891,0.0,0.0,0.0104759825573566,0.1
1010,R2,0.4166666666666667,0.5574859330165896,2.38,7.14,0.8333333333333334,3.633333333333333,0.1638370688720915,0.3662985685071574,0.003513693160236,0.0128732383724475,0.0,0.5705521472392638,0.017323882480189,0.1666666666666666
1010,R3,0.3666666666666666,0.5894746814842667,2.340909090909091,7.0227272727272725,0.7333333333333333,3.6666666666666665,0.1605058771533254,0.3626990291262136,0.0053480700952949,0.0192229463572478,0.0750670241286863,0.3223300970873786,0.0239285829985409,0.1333333333333333
1011,R1,0.4166666666666667,0.5720581120411666,2.1,6.3,0.8333333333333334,2.933333333333333,0.178585533230115,0.0694736842105263,0.0008792783330455,0.003480476734972,0.0,0.0,0.0096277422175137,0.3333333333333333
1011,R2,0.4,0.6073621951812851,2.1666666666666665,6.5,0.8,3.4,0.161708173026593,0.3702459016393442,0.0036428874629549,0.0128249766632714,0.0,0.5901639344262295,0.0170979694947675,0.1
1011,R3,0.4166666666666667,0.6001661574535737,2.14,6.42,0.8333333333333334,2.8,0.1735459553629306,0.3427882599580713,0.00421159377104,0.0122100060613331,0.0530973451327433,0.2515723270440251,0.0200025943584314,0.2666666666666666
1012,R1,0.425,0.6234533098482856,2.2549019607843137,6.764705882352941,0.85,3.0,0.2211898331259449,0.0899581589958159,0.0009114191337881,0.0036304862162562,0.0,0.0,0.0102290564118767,0.3666666666666666
1012,R2,0.4,0.6268162078767184,1.8958333333333333,5.6875,0.8,3.1666666666666665,0.204578724751008,0.3725473684210525,0.0032682418690745,0.0109395098010774,0.0,0.5831578947368421,0.0160661044766092,0.2666666666666666
1012,R3,0.4416666666666666,0.6134084552679072,2.056603773584906,6.169811320754717,0.8833333333333333,2.8,0.2029178530506779,0.3337991266375546,0.0046392849955169,0.0161567740597661,0.0861538461538461,0.2707423580786026,0.0215559475389896,0.3333333333333333
1013,R1,0.4416666666666666,0.5853730787536149,2.471698113207548,7.415094339622642,0.8833333333333333,2.966666666666667,0.1626827756845909,0.0833333333333333,0.0008758780513316,0.0035035122053266,0.0,0.0,0.0105792485506303,0.3666666666666666
