seed,scenario,q1_R0,q1_R1,q1_delta,q4_R0,q4_R1,q4_delta,gap_R0,gap_R1,gap_delta
1000,E0_L0_C0,0.6333333333333333,0.4333333333333333,-0.2,0.3666666666666666,0.4333333333333333,0.06666666666666671,-0.2666666666666666,0.0,0.2666666666666666
1000,E0_L0_C1,0.5666666666666667,0.4666666666666667,-0.09999999999999998,0.4333333333333333,0.3333333333333333,-0.09999999999999998,-0.1333333333333333,-0.1333333333333333,0.0
1000,E0_L1_C0,0.6333333333333333,0.4333333333333333,-0.2,0.3666666666666666,0.4333333333333333,0.06666666666666671,-0.2666666666666666,0.0,0.2666666666666666
1000,E0_L1_C1,0.5666666666666667,0.5333333333333333,-0.033333333333333326,0.4333333333333333,0.3333333333333333,-0.09999999999999998,-0.1333333333333333,-0.2,-0.06666666666666671
1000,E1_L0_C0,0.5666666666666667,0.5333333333333333,-0.033333333333333326,0.3333333333333333,0.3333333333333333,0.0,-0.2333333333333333,-0.2,0.0333333333333333
1000,E1_L0_C1,0.4333333333333333,0.4,-0.03333333333333327,0.4666666666666667,0.4666666666666667,0.0,0.0333333333333333,0.0666666666666666,0.0333333333333333
1000,E1_L1_C0,0.5666666666666667,0.5333333333333333,-0.033333333333333326,0.3333333333333333,0.3333333333333333,0.0,-0.2333333333333333,-0.2,0.0333333333333333
1000,E1_L1_C1,0.4333333333333333,0.4,-0.03333333333333327,0.4666666666666667,0.4666666666666667,0.0,0.0333333333333333,0.0666666666666666,0.0333333333333333
1001,E0_L0_C0,0.4,0.5,0.09999999999999998,0.5333333333333333,0.4666666666666667,-0.06666666666666665,0.1333333333333333,-0.0333333333333333,-0.1666666666666666
1001,E0_L0_C1,0.3,0.2333333333333333,-0.06666666666666668,0.5666666666666667,0.5666666666666667,0.0,0.2666666666666666,0.3333333333333333,0.06666666666666671
1001,E0_L1_C0,0.4,0.5,0.09999999999999998,0.5333333333333333,0.4666666666666667,-0.06666666666666665,0.1333333333333333,-0.0333333333333333,-0.1666666666666666
1001,E0_L1_C1,0.3333333333333333,0.2333333333333333,-0.1,0.5666666666666667,0.5666666666666667,0.0,0.2333333333333333,0.3333333333333333,0.1
1001,E1_L0_C0,0.4,0.2333333333333333,-0.1666666666666667,0.5,0.6666666666666666,0.16666666666666663,0.0999999999999999,0.4333333333333333,0.33333333333333337
1001,E1_L0_C1,0.4333333333333333,0.2666666666666666,-0.16666666666666669,0.6,0.6,0.0,0.1666666666666666,0.3333333333333333,0.1666666666666667
1001,E1_L1_C0,0.4,0.2333333333333333,-0.1666666666666667,0.5,0.6666666666666666,0.16666666666666663,0.0999999999999999,0.4333333333333333,0.33333333333333337
