estimand,n,estimate,ci_low,ci_high,mcse
E_main_q1,10,-0.05833333333333333,-0.12542563623774877,0.008758969571082124,0.02965855070008697
E_main_q4,10,0.07499999999999998,0.0372973806200299,0.11270261937997006,0.016666666666666666
E_main_gap,10,0.1333333333333333,0.04128092989428396,0.22538573677238266,0.0406923112827333
