metric,n,mean_diff,ci_low,ci_high,mcse,scenario,evidence_channel,learning_channel,credential_resource_channel,channel_condition
evidence_opportunity_gap,10,-0.013333333333333336,-0.11336968701088748,0.08670302034422081,0.044221663871405324,E0_L0_C0,0,0,0,both_off
resource_q1_placement,10,-0.04666666666666667,-0.12470693996816723,0.031373606634833885,0.03449816599168893,E0_L0_C0,0,0,0,both_off
resource_q4_placement,10,-0.06000000000000001,-0.09861324193786211,-0.021386758062137905,0.017069212773041353,E0_L0_C0,0,0,0,both_off
placement_rate,10,-0.04499999999999999,-0.0621398391185444,-0.02786016088145558,0.007576767609436589,E0_L0_C0,0,0,0,both_off
ground_truth_fit,10,0.03344338525721717,0.02397496422306916,0.04291180629136518,0.004185571714405521,E0_L0_C0,0,0,0,both_off
credential_sensitivity,10,-0.014675011820991726,-0.01901515348424175,-0.0103348701577417,0.0019185853815220477,E0_L0_C0,0,0,0,both_off
total_gap_reduction,10,0.00023000874417486032,-0.00014787304831016666,0.0006078905366598874,0.00016704488914360006,E0_L0_C0,0,0,0,both_off
evidence_opportunity_gap,10,0.11333333333333333,0.02468094199904,0.20198572466762665,0.03918931575232978,E1_L0_C0,1,0,0,evidence_only
resource_q1_placement,10,-0.1,-0.1463467967373369,-0.05365320326266313,0.020487876571761973,E1_L0_C0,1,0,0,evidence_only
resource_q4_placement,10,0.013333333333333326,-0.04080928507248058,0.06747595173914724,0.02393406580948668,E1_L0_C0,1,0,0,evidence_only
placement_rate,10,-0.03916666666666666,-0.05350963815220403,-0.024823695181129292,0.006340395672507406,E1_L0_C0,1,0,0,evidence_only
ground_truth_fit,10,0.026210079553957866,0.016999610367510118,0.035420548740405615,0.004071542569153215,E1_L0_C0,1,0,0,evidence_only
credential_sensitivity,10,-0.013275782826077396,-0.01765909729003009,-0.008892468362124702,0.001937670174308621,E1_L0_C0,1,0,0,evidence_only
total_gap_reduction,10,7.108303700306225e-05,-0.00018661014145159206,0.0003287762154577165,0.00011391479897705134,E1_L0_C0,1,0,0,evidence_only
evidence_opportunity_gap,10,-0.01666666666666667,-0.1154638371171818,0.08213050378384848,0.04367387557118564,E0_L1_C0,0,1,0,learning_only
resource_q1_placement,10,-0.04,-0.11689855677281158,0.03689855677281157,0.033993463423951896,E0_L1_C0,0,1,0,learning_only
resource_q4_placement,10,-0.056666666666666664,-0.0972736304710271,-0.016059702862306215,0.017950549357115018,E0_L1_C0,0,1,0,learning_only
placement_rate,10,-0.042499999999999996,-0.062060599537501815,-0.02293940046249818,0.00864687912015188,E0_L1_C0,0,1,0,learning_only
ground_truth_fit,10,0.031738674404251745,0.02052893814711554,0.04294841066138795,0.004955330443650599,E0_L1_C0,0,1,0,learning_only
credential_sensitivity,10,-0.014688489159513976,-0.019031956713116308,-0.010345021605911643,0.0019200556110918587,E0_L1_C0,0,1,0,learning_only
total_gap_reduction,10,0.00024727633463997474,-0.00014479937411097222,0.0006393520433909216,0.00017331939407161427,E0_L1_C0,0,1,0,learning_only
evidence_opportunity_gap,10,0.11333333333333333,0.02468094199904,0.20198572466762665,0.03918931575232978,E1_L1_C0,1,1,0,evidence_plus_learning
resource_q1_placement,10,-0.1,-0.1463467967373369,-0.05365320326266313,0.020487876571761973,E1_L1_C0,1,1,0,evidence_plus_learning
resource_q4_placement,10,0.013333333333333326,-0.04080928507248058,0.06747595173914724,0.02393406580948668,E1_L1_C0,1,1,0,evidence_plus_learning
placement_rate,10,-0.03916666666666666,-0.05350963815220403,-0.024823695181129292,0.006340395672507406,E1_L1_C0,1,1,0,evidence_plus_learning
ground_truth_fit,10,0.026235448285400576,0.01702602902509997,0.035444867545701184,0.004071078443068427,E1_L1_C0,1,1,0,evidence_plus_learning
credential_sensitivity,10,-0.013271623584501315,-0.01765486258380427,-0.00888838458519836,0.0019376368147123123,E1_L1_C0,1,1,0,evidence_plus_learning
total_gap_reduction,10,6.51475191604461e-05,-0.00020338362545135633,0.00033367866377224855,0.00011870578624150026,E1_L1_C0,1,1,0,evidence_plus_learning
evidence_opportunity_gap,10,0.08333333333333337,-0.023453785160324453,0.1901204518269912,0.04720587952499556,E1_L1_C1,1,1,1,full_baseline
resource_q1_placement,10,-0.09333333333333335,-0.13940669525515254,-0.047259971411514175,0.02036700308869262,E1_L1_C1,1,1,1,full_baseline
resource_q4_placement,10,-0.009999999999999992,-0.08289173080127547,0.06289173080127548,0.032222222222222215,E1_L1_C1,1,1,1,full_baseline
placement_rate,10,-0.04333333333333332,-0.06595490496131536,-0.020711761705351283,0.009999999999999995,E1_L1_C1,1,1,1,full_baseline
ground_truth_fit,10,0.029726042816281904,0.014881263150153892,0.044570822482409914,0.006562222957031671,E1_L1_C1,1,1,1,full_baseline
credential_sensitivity,10,-0.010962184489827007,-0.016867194766867183,-0.00505717421278683,0.0026103448399384848,E1_L1_C1,1,1,1,full_baseline
total_gap_reduction,10,0.00031230582947567144,-1.18156074406731e-05,0.000636427266392016,0.000143279804890045,E1_L1_C1,1,1,1,full_baseline
