seed,regime,placement_rate,ground_truth_fit,search_rounds,applications_per_hire,fill_rate,vacancy_duration,credential_sensitivity,investment_alignment,mean_step_gap_reduction,total_gap_reduction,evidence_conversion,task_acceptance,realized_gain,evidence_opportunity_gap,condition
1000,R3,0.43333333333333335,0.6418241642092752,2.1923076923076925,6.576923076923077,0.8666666666666667,3.0,0.13866291344491538,0.3325957446808511,0.004684378793338744,0.015406449581568242,0.08814589665653495,0.274468085106383,0.022431901042582927,0.06666666666666665,R3
1000,R3,0.425,0.641206910160363,2.0784313725490198,6.235294117647059,0.85,2.7333333333333334,0.14456458806475492,0.10742004264392323,0.0038462493343993944,0.012724811044595778,0.0547112462006079,0.26865671641791045,0.021816767085121525,0.16666666666666669,R3_random
1001,R3,0.39166666666666666,0.6172104912750083,2.1914893617021276,6.574468085106383,0.7833333333333333,3.433333333333333,0.16665909124011796,0.3718623481781377,0.005307888893404606,0.01709096133352739,0.07908163265306123,0.2935222672064777,0.025201100777011157,0.36666666666666664,R3
1001,R3,0.4083333333333333,0.6168090969654841,2.122448979591837,6.36734693877551,0.8166666666666667,3.2666666666666666,0.16722475276062235,0.09546777546777548,0.004227870167340299,0.013781038164155492,0.07142857142857142,0.2993762993762994,0.0231317450662061,0.23333333333333334,R3_random
1002,R3,0.39166666666666666,0.6256828817872165,2.1914893617021276,6.574468085106383,0.7833333333333333,3.1333333333333333,0.14052794217824022,0.33386639676113367,0.004299913215129342,0.015838780446047272,0.069164265129683,0.242914979757085,0.020668215039464824,0.1333333333333333,R3
1002,R3,0.4,0.6188325744193172,2.2291666666666665,6.6875,0.8,3.033333333333333,0.1299572010923242,0.0944399185336049,0.0037297264789435277,0.01251394166338301,0.037463976945244955,0.23828920570264767,0.0209919025426827,0.033333333333333326,R3_random
1003,R3,0.43333333333333335,0.6012184030227193,2.326923076923077,6.980769230769231,0.8666666666666667,2.7,0.15992677669768565,0.3425786163522013,0.0054019279080514855,0.018801322289858344,0.08609271523178808,0.3039832285115304,0.023079520227668432,0.26666666666666666,R3
1003,R3,0.4083333333333333,0.6087147104668126,2.2448979591836733,6.73469387755102,0.8166666666666667,3.466666666666667,0.17761769584475023,0.11381930184804928,0.004294211450938364,0.015152531503894702,0.076158940397351,0.2997946611909651,0.023602969368134073,0.39999999999999997,R3_random
1004,R3,0.43333333333333335,0.6159515948713984,2.2884615384615383,6.865384615384615,0.8666666666666667,3.033333333333333,0.18704058978649912,0.34776842105263156,0.004987895178212992,0.01697307781659165,0.08959537572254335,0.3178947368421053,0.023955040802215853,0.0,R3
1004,R3,0.425,0.6073363297819822,2.215686274509804,6.647058823529412,0.85,2.933333333333333,0.20454044627715567,0.10584033613445379,0.004282110880345639,0.01451413829149472,0.07803468208092486,0.30462184873949577,0.02385714030532037,0.09999999999999998,R3_random
1005,R3,0.4583333333333333,0.5745613748954046,2.327272727272727,6.9818181818181815,0.9166666666666666,2.966666666666667,0.18699469324701148,0.3433045356371491,0.004670538574679648,0.014861904776456695,0.1005586592178771,0.28509719222462204,0.02438180466283176,0.23333333333333334,R3
1005,R3,0.43333333333333335,0.5787711224581169,2.0,6.0,0.8666666666666667,2.9,0.18164624539600294,0.09947826086956521,0.0038619048722638772,0.011973534322158223,0.061452513966480445,0.3065217391304348,0.02248866766232681,0.23333333333333334,R3_random
1006,R3,0.425,0.5741466868867434,2.3137254901960786,6.9411764705882355,0.85,3.2666666666666666,0.18406597404526343,0.3411018711018711,0.004167338538878589,0.01437714638299149,0.07923497267759563,0.2681912681912682,0.02262718860122221,0.3333333333333333,R3
1006,R3,0.4166666666666667,0.5910165188346919,2.48,7.44,0.8333333333333334,3.466666666666667,0.1939932671597962,0.10222672064777327,0.002989082181430185,0.010661408298029938,0.04644808743169399,0.23684210526315788,0.021071713870459384,0.23333333333333334,R3_random
1007,R3,0.4083333333333333,0.5881478487779853,2.142857142857143,6.428571428571429,0.8166666666666667,3.433333333333333,0.14773658678864696,0.342344398340249,0.004475755242670236,0.014967282276885643,0.0744047619047619,0.2821576763485477,0.02181512620404457,0.16666666666666669,R3
1007,R3,0.39166666666666666,0.6011501885591353,2.0638297872340425,6.191489361702128,0.7833333333333333,3.2333333333333334,0.15513370857791012,0.0986065573770492,0.0040260242590996875,0.014472999853658944,0.03571428571428571,0.2827868852459016,0.02307402642471063,0.06666666666666671,R3_random
1008,R3,0.425,0.5995034291696328,2.156862745098039,6.470588235294118,0.85,2.8666666666666667,0.16580427086093738,0.33420718816067657,0.004939553223849278,0.016145834049464437,0.0790273556231003,0.2769556025369979,0.02338595659724274,0.06666666666666671,R3
1008,R3,0.4166666666666667,0.5893434182991766,2.04,6.12,0.8333333333333334,3.1,0.17407468547218283,0.08966101694915254,0.003648231686308685,0.01225856087203873,0.04559270516717325,0.2648305084745763,0.0224092196788773,0.033333333333333326,R3_random
