seed,regime,placement_rate,ground_truth_fit,search_rounds,applications_per_hire,fill_rate,vacancy_duration,credential_sensitivity,investment_alignment,mean_step_gap_reduction,total_gap_reduction,evidence_conversion,task_acceptance,realized_gain,evidence_opportunity_gap,scenario
1000,R0,0.4666666666666667,0.6326554392144796,1.7857142857142858,5.357142857142857,0.9333333333333333,2.066666666666667,0.1689133504505226,0.07242990654205607,0.000789646848889077,0.002816407094371041,0.0,0.0,0.010477834686579335,0.033333333333333326,baseline_discount
1000,R1,0.4583333333333333,0.6350552206575565,1.9636363636363636,5.890909090909091,0.9166666666666666,2.5,0.15811395898606173,0.08126410835214447,0.0007855467008178255,0.0028999765705191387,0.0,0.0,0.010719170375223666,0.06666666666666665,baseline_discount
1001,R0,0.4666666666666667,0.5811810655972484,2.017857142857143,6.053571428571429,0.9333333333333333,2.2666666666666666,0.21152616998915386,0.06802721088435375,0.0007268796400835012,0.002671282677306867,0.0,0.0,0.01032362890886498,0.16666666666666663,baseline_discount
1001,R1,0.425,0.5934222874974043,2.1176470588235294,6.352941176470588,0.85,3.2333333333333334,0.18514813301144487,0.07643312101910828,0.0007128639293020064,0.002797990922510375,0.0,0.0,0.009973759888227938,0.3333333333333333,baseline_discount
1002,R0,0.45,0.5828109498517207,2.111111111111111,6.333333333333333,0.9,2.6333333333333333,0.15480160114798786,0.08552631578947369,0.0009981973182900537,0.0037931498095022044,0.0,0.0,0.010845248257776602,-0.06666666666666671,baseline_discount
1002,R1,0.4166666666666667,0.6047863237199878,2.38,7.14,0.8333333333333334,3.033333333333333,0.14868277130029223,0.06748466257668712,0.0007849780325621578,0.003198785482690793,0.0,0.0,0.009879948092972877,0.16666666666666669,baseline_discount
1003,R0,0.475,0.56771762624011,2.1052631578947367,6.315789473684211,0.95,2.3333333333333335,0.21511179863301524,0.07936507936507936,0.0008676014625236659,0.003188435374774472,0.0,0.0,0.01098851762882892,0.16666666666666669,baseline_discount
1003,R1,0.375,0.6265220909901917,1.8888888888888888,5.666666666666667,0.75,3.1,0.1934413968569715,0.09795918367346938,0.000960686563922015,0.003922803469348228,0.0,0.0,0.010367197817075024,0.26666666666666666,baseline_discount
1004,R0,0.4583333333333333,0.5786591859258591,1.9636363636363636,5.890909090909091,0.9166666666666666,2.466666666666667,0.21671633125105141,0.06772009029345373,0.0007680267851103719,0.002835298881699123,0.0,0.0,0.010170265927768941,0.23333333333333328,baseline_discount
1004,R1,0.4083333333333333,0.6269718012674598,2.183673469387755,6.551020408163265,0.8166666666666667,3.2333333333333334,0.20363293977489336,0.07231404958677685,0.0008761723001726367,0.0035338949440296345,0.0,0.0,0.011551543196036462,0.03333333333333338,baseline_discount
1005,R0,0.5,0.53805738840718,1.8333333333333333,5.5,1.0,1.5333333333333334,0.20583187636344077,0.07560975609756097,0.0006996506424953958,0.0023904730285259357,0.0,0.0,0.010447467485176951,0.3,baseline_discount
1005,R1,0.4166666666666667,0.5882515079612579,2.0,6.0,0.8333333333333334,2.7666666666666666,0.20470309451660124,0.0851063829787234,0.000825246042635772,0.003232213666990107,0.0,0.0,0.010624591502802355,0.3,baseline_discount
1006,R0,0.45,0.5516184612678237,2.0925925925925926,6.277777777777778,0.9,2.466666666666667,0.206308944369565,0.06373626373626373,0.0007368815553285855,0.0027940092306208866,0.0,0.0,0.010388444796242017,0.3333333333333333,baseline_discount
1006,R1,0.43333333333333335,0.586650888096569,2.1538461538461537,6.461538461538462,0.8666666666666667,2.6666666666666665,0.2065795808414314,0.0641025641025641,0.0007300922449682343,0.002847359755376114,0.0,0.0,0.010728117075802134,0.23333333333333334,baseline_discount
1007,R0,0.475,0.5467141423258167,2.017543859649123,6.052631578947368,0.95,2.066666666666667,0.17108621251915862,0.06880733944954129,0.0009512706739264272,0.0034562834485993518,0.0,0.0,0.011342487276200987,0.0,baseline_discount
1007,R1,0.4166666666666667,0.5849341461068128,2.14,6.42,0.8333333333333334,3.3,0.16117658776792115,0.06708595387840671,0.0010677078136151483,0.004244138559120215,0.0,0.0,0.011124472469061111,0.23333333333333334,baseline_discount
1008,R0,0.4583333333333333,0.5608978005648432,1.7636363636363637,5.290909090909091,0.9166666666666666,2.2,0.18308454181011574,0.06481481481481481,0.0008508657916988607,0.0030631168501158985,0.0,0.0,0.010985017156682632,0.033333333333333326,baseline_discount
