seed,E_main_effect,E_x_L_interaction,E_x_C_interaction
1000,-0.08333333333333333,0.033333333333333354,0.29999999999999993
1001,0.2916666666666667,-0.016666666666666663,-0.41666666666666663
1002,0.29999999999999993,0.0,-0.26666666666666666
1003,0.19999999999999996,0.0,1.1102230246251565e-16
1004,0.0,0.0,0.0666666666666666
1005,0.09999999999999998,0.0,0.13333333333333328
1006,-4.85722573273506e-17,0.0,-0.20000000000000012
1007,0.21666666666666667,0.0,0.2333333333333331
1008,0.1416666666666666,0.016666666666666635,0.11666666666666656
1009,0.16666666666666663,0.0,0.13333333333333341
