metric,contrast,n,mean_diff,ci_low,ci_high,mcse
q1_placement,R1-R0,40,-0.07666666666666666,-0.09660336126562442,-0.0567299720677089,0.009856520539774526
q4_placement,R1-R0,40,-0.011666666666666662,-0.03646885995140156,0.013135526618068237,0.012261978851560839
gap,R1-R0,40,0.065,0.030692987751168202,0.0993070122488318,0.016961074926963284
