seed,regime,q1_placement,q4_placement,gap
1000,R0,0.43333333333333335,0.4666666666666667,0.033333333333333326
1000,R1,0.4,0.4666666666666667,0.06666666666666665
1000,R2,0.36666666666666664,0.5666666666666667,0.2
1000,R3,0.4,0.4666666666666667,0.06666666666666665
1001,R0,0.43333333333333335,0.6,0.16666666666666663
1001,R1,0.26666666666666666,0.6,0.3333333333333333
1001,R2,0.26666666666666666,0.5333333333333333,0.26666666666666666
1001,R3,0.23333333333333334,0.6,0.36666666666666664
1002,R0,0.43333333333333335,0.36666666666666664,-0.06666666666666671
1002,R1,0.26666666666666666,0.43333333333333335,0.16666666666666669
1002,R2,0.3,0.36666666666666664,0.06666666666666665
1002,R3,0.23333333333333334,0.36666666666666664,0.1333333333333333
1003,R0,0.36666666666666664,0.5333333333333333,0.16666666666666669
1003,R1,0.23333333333333334,0.5,0.26666666666666666
1003,R2,0.23333333333333334,0.6,0.36666666666666664
1003,R3,0.26666666666666666,0.5333333333333333,0.26666666666666666
1004,R0,0.4,0.6333333333333333,0.23333333333333328
1004,R1,0.36666666666666664,0.4,0.03333333333333338
1004,R2,0.4666666666666667,0.4666666666666667,0.0
1004,R3,0.43333333333333335,0.43333333333333335,0.0
1005,R0,0.3333333333333333,0.6333333333333333,0.3
1005,R1,0.3,0.6,0.3
1005,R2,0.26666666666666666,0.6333333333333333,0.36666666666666664
1005,R3,0.3,0.5333333333333333,0.23333333333333334
1006,R0,0.36666666666666664,0.7,0.3333333333333333
1006,R1,0.36666666666666664,0.6,0.23333333333333334
1006,R2,0.3333333333333333,0.5333333333333333,0.2
1006,R3,0.26666666666666666,0.6,0.3333333333333333
1007,R0,0.4666666666666667,0.4666666666666667,0.0
1007,R1,0.3,0.5333333333333333,0.23333333333333334
1007,R2,0.36666666666666664,0.5,0.13333333333333336
1007,R3,0.3333333333333333,0.5,0.16666666666666669
1008,R0,0.4,0.43333333333333335,0.033333333333333326
1008,R1,0.3,0.4666666666666667,0.16666666666666669
1008,R2,0.26666666666666666,0.4,0.13333333333333336
1008,R3,0.3333333333333333,0.4,0.06666666666666671
1009,R0,0.43333333333333335,0.43333333333333335,0.0
1009,R1,0.3333333333333333,0.5666666666666667,0.23333333333333334
1009,R2,0.36666666666666664,0.5666666666666667,0.2
1009,R3,0.36666666666666664,0.5,0.13333333333333336
1010,R0,0.36666666666666664,0.5,0.13333333333333336
1010,R1,0.36666666666666664,0.4666666666666667,0.10000000000000003
1010,R2,0.3333333333333333,0.5,0.16666666666666669
1010,R3,0.3,0.43333333333333335,0.13333333333333336
1011,R0,0.36666666666666664,0.5666666666666667,0.2
1011,R1,0.23333333333333334,0.5666666666666667,0.3333333333333333
1011,R2,0.3333333333333333,0.43333333333333335,0.10000000000000003
1011,R3,0.23333333333333334,0.5,0.26666666666666666
1012,R0,0.4666666666666667,0.6,0.1333333333333333
1012,R1,0.26666666666666666,0.6333333333333333,0.36666666666666664
1012,R2,0.3333333333333333,0.6,0.26666666666666666
1012,R3,0.3333333333333333,0.6666666666666666,0.3333333333333333
1013,R0,0.3,0.5333333333333333,0.23333333333333334
1013,R1,0.26666666666666666,0.6333333333333333,0.36666666666666664
1013,R2,0.26666666666666666,0.5333333333333333,0.26666666666666666
1013,R3,0.2,0.6333333333333333,0.4333333333333333
1014,R0,0.3333333333333333,0.6,0.26666666666666666
1014,R1,0.36666666666666664,0.5666666666666667,0.2
1014,R2,0.3,0.5666666666666667,0.26666666666666666
1014,R3,0.43333333333333335,0.5666666666666667,0.1333333333333333
1015,R0,0.3,0.5333333333333333,0.23333333333333334
1015,R1,0.2,0.5666666666666667,0.36666666666666664
1015,R2,0.23333333333333334,0.4666666666666667,0.23333333333333334
1015,R3,0.2,0.5666666666666667,0.36666666666666664
1016,R0,0.3333333333333333,0.7,0.36666666666666664
1016,R1,0.26666666666666666,0.7333333333333333,0.4666666666666666
1016,R2,0.2,0.6666666666666666,0.4666666666666666
1016,R3,0.23333333333333334,0.7333333333333333,0.49999999999999994
1017,R0,0.4,0.5666666666666667,0.16666666666666663
