seed,E_main_q1,E_main_q4,E_main_gap
1000,0.10000000000000003,0.016666666666666635,-0.08333333333333333
1001,-0.175,0.11666666666666664,0.2916666666666667
1002,-0.1833333333333333,0.1166666666666667,0.29999999999999993
1003,-0.11666666666666661,0.08333333333333331,0.19999999999999996
1004,-0.03333333333333341,-0.0333333333333333,0.0
1005,-0.05833333333333335,0.04166666666666666,0.09999999999999998
1006,0.08333333333333329,0.08333333333333331,-4.85722573273506e-17
1007,-0.08333333333333331,0.13333333333333333,0.21666666666666667
1008,-0.0666666666666667,0.075,0.1416666666666666
1009,-0.04999999999999999,0.11666666666666672,0.16666666666666663
