contrast,metric,n,mean_diff,sd_diff,ci_low,ci_high,cohen_dz,p_value,mcse,test,holm_adjusted_p
R1-R0,ground_truth_fit,40,0.0292861795281377,0.0141552287292612,0.0247591177551693,0.0338132413011061,2.0689301521209837,7.576413401038096e-16,0.0022381381792558,H1 fit,3.0305653604152385e-15
R1-R0,placement_rate,40,-0.0422916666666666,0.0245607784405714,-0.0501465846845445,-0.0344367486487888,-1.7219188214656094,2.1644345551948346e-13,0.0038834000489482,H1 placement,6.493303665584504e-13
R1-R0,search_rounds,40,0.2015511087967051,0.1895948186291253,0.1409157441420516,0.2621864734513586,1.063062325510952,5.149262578948974e-08,0.0299775729717279,H1 search,1.0298525157897947e-07
R2-R1,investment_alignment,40,0.2691948397001632,0.0193756094562209,0.2629982191739331,0.2753914602263933,13.893490179413822,1.8964584422311707e-46,0.0030635528467777,H3 alignment,1.5171667537849366e-45
R2-R1,total_gap_reduction,40,0.0076687367246495,0.0008635855547103,0.0073925486652976,0.0079449247840014,8.880112321033014,6.300342565067457e-39,0.0001365448653652,H3 gap,4.41023979554722e-38
R3-R2,evidence_conversion,40,0.0767546519014175,0.0137400536957452,0.0723603695458129,0.0811489342570222,5.586197376010653,3.143971458914062e-31,0.0021724932425784,H4 evidence,1.8863828753484373e-30
R3-R2,total_gap_reduction,40,0.004849039180535,0.0016945943640029,0.00430708161046,0.0053909967506099,2.861474865926352,1.4210873681347095e-20,0.0002679388950166,H4 gap,7.105436840673547e-20
R3-R2,placement_rate,40,0.0012499999999999,0.0244271986561708,-0.0065621971302703,0.0090621971302703,0.0511724662985135,0.7479374553201588,0.0038622792305452,H4 placement,0.7479374553201588
