scenario,seed,regime,placement_rate,ground_truth_fit,aggregate_fit_per_capacity
baseline,1000,R0,0.4666666666666667,0.6326554392144796,0.5904784099335142
baseline,1000,R1,0.4583333333333333,0.6350552206575565,0.5821339522694269
baseline,1001,R0,0.4666666666666667,0.5811810655972484,0.5424356612240986
baseline,1001,R1,0.425,0.5934222874974043,0.5044089443727936
baseline,1002,R0,0.45,0.5828109498517207,0.5245298548665486
baseline,1002,R1,0.4166666666666667,0.6047863237199878,0.5039886030999897
baseline,1003,R0,0.475,0.56771762624011,0.5393317449281044
baseline,1003,R1,0.375,0.6265220909901917,0.4698915682426438
baseline,1004,R0,0.4583333333333333,0.5786591859258591,0.5304375870987041
baseline,1004,R1,0.4083333333333333,0.6269718012674598,0.5120269710350922
baseline,1005,R0,0.5,0.53805738840718,0.53805738840718
baseline,1005,R1,0.4166666666666667,0.5882515079612579,0.4902095899677149
baseline,1006,R0,0.45,0.5516184612678237,0.4964566151410413
baseline,1006,R1,0.43333333333333335,0.586650888096569,0.508430769683693
baseline,1007,R0,0.475,0.5467141423258167,0.519378435209526
baseline,1007,R1,0.4166666666666667,0.5849341461068128,0.4874451217556774
baseline,1008,R0,0.4583333333333333,0.5608978005648432,0.5141563171844397
baseline,1008,R1,0.4166666666666667,0.5935664399362721,0.49463869994689347
baseline,1009,R0,0.4666666666666667,0.5804998541696751,0.5417998638916967
baseline,1009,R1,0.4666666666666667,0.5779116354940635,0.5393841931277926
baseline,1010,R0,0.45,0.529161391269008,0.4762452521421073
baseline,1010,R1,0.4166666666666667,0.5660663912441144,0.4717219927034286
baseline,1011,R0,0.48333333333333334,0.547673047660515,0.5294172794051646
baseline,1011,R1,0.4166666666666667,0.5720581120411666,0.4767150933676389
baseline,1012,R0,0.475,0.588698735618744,0.559263798837807
baseline,1012,R1,0.425,0.6234533098482856,0.5299353133710428
baseline,1013,R0,0.4666666666666667,0.5789645796235119,0.5403669409819443
baseline,1013,R1,0.44166666666666665,0.5853730787536149,0.5170795528990265
baseline,1014,R0,0.45,0.5804421446241843,0.5223979301617658
baseline,1014,R1,0.4166666666666667,0.621542627461348,0.5179521895511232
baseline,1015,R0,0.49166666666666664,0.5583006110716978,0.5489956008871695
baseline,1015,R1,0.4083333333333333,0.5925985915956509,0.48395551646978163
baseline,1016,R0,0.475,0.5578758031259173,0.5299820129696216
baseline,1016,R1,0.44166666666666665,0.5769013803865602,0.5095962193414617
baseline,1017,R0,0.49166666666666664,0.6078008758059844,0.5976708612092182
baseline,1017,R1,0.43333333333333335,0.6424364414070977,0.5567782492194847
baseline,1018,R0,0.475,0.5451457812013873,0.5178884921413179
baseline,1018,R1,0.4583333333333333,0.5718989735486901,0.5242407257529659
baseline,1019,R0,0.48333333333333334,0.5949634712540184,0.5751313555455511
baseline,1019,R1,0.425,0.6245958212735615,0.5309064480825273
lower_proxy_noise,1000,R0,0.4666666666666667,0.6398259676876482,0.5971709031751383
lower_proxy_noise,1000,R1,0.45,0.643527354969697,0.5791746194727273
lower_proxy_noise,1001,R0,0.44166666666666665,0.5786430555986548,0.5111346991121452
lower_proxy_noise,1001,R1,0.4083333333333333,0.6032373532896963,0.4926438385199186
lower_proxy_noise,1002,R0,0.4583333333333333,0.5877371094242011,0.5387590169721843
lower_proxy_noise,1002,R1,0.4,0.626615245770998,0.5012921966167984
lower_proxy_noise,1003,R0,0.4583333333333333,0.5893994768052607,0.5402828537381558
lower_proxy_noise,1003,R1,0.38333333333333336,0.6338452836199583,0.48594805077530145
lower_proxy_noise,1004,R0,0.475,0.5827375511455382,0.5536006735882614
lower_proxy_noise,1004,R1,0.44166666666666665,0.6200316464236949,0.547694621007597
lower_proxy_noise,1005,R0,0.4583333333333333,0.5641740524915175,0.5171595481172243
lower_proxy_noise,1005,R1,0.44166666666666665,0.5833201046626015,0.5152660924519648
lower_proxy_noise,1006,R0,0.43333333333333335,0.579386638628256,0.5021350868111552
lower_proxy_noise,1006,R1,0.375,0.6118155560915942,0.45886166706869574
lower_proxy_noise,1007,R0,0.45,0.565054674742654,0.5085492072683886
lower_proxy_noise,1007,R1,0.4083333333333333,0.6114428678478963,0.49934500874244864
lower_proxy_noise,1008,R0,0.45,0.5818130761149468,0.5236317685034522
lower_proxy_noise,1008,R1,0.4166666666666667,0.6006031122275235,0.5005025935229362
lower_proxy_noise,1009,R0,0.475,0.5877474944768547,0.5583601197530119
lower_proxy_noise,1009,R1,0.43333333333333335,0.6066772914649493,0.5257869859362893
lower_proxy_noise,1010,R0,0.4583333333333333,0.5331748820875658,0.488743641913602
lower_proxy_noise,1010,R1,0.35,0.5841740027335163,0.4089218019134614
lower_proxy_noise,1011,R0,0.4583333333333333,0.5773912731088031,0.5292753336830696
lower_proxy_noise,1011,R1,0.38333333333333336,0.5982307458140955,0.45864357179080656
lower_proxy_noise,1012,R0,0.48333333333333334,0.5940490342005893,0.5742473997272364
lower_proxy_noise,1012,R1,0.4083333333333333,0.6408098898226577,0.5233280766885037
lower_proxy_noise,1013,R0,0.4583333333333333,0.5869973303188609,0.5380808861256224
lower_proxy_noise,1013,R1,0.425,0.5984742825449453,0.5087031401632035
lower_proxy_noise,1014,R0,0.4666666666666667,0.58489185515855,0.5458990648146467
lower_proxy_noise,1014,R1,0.43333333333333335,0.6093130229420117,0.5280712865497434
lower_proxy_noise,1015,R0,0.475,0.5752870589165686,0.5465227059707403
