scenario,evidence_channel,learning_channel,credential_resource_channel,mean_diff,ci_low,ci_high,mcse
E0_L0_C0,0,0,0,-0.0133333333333333,-0.1133696870108874,0.0867030203442208,0.0442216638714053
E0_L0_C1,0,0,1,-0.0533333333333333,-0.1237115561759441,0.0170448895092774,0.0311111111111111
E0_L1_C0,0,1,0,-0.0166666666666666,-0.1154638371171818,0.0821305037838484,0.0436738755711856
E0_L1_C1,0,1,1,-0.0566666666666666,-0.1295583974679421,0.0162250641346088,0.0322222222222222
E1_L0_C0,1,0,0,0.1133333333333333,0.02468094199904,0.2019857246676266,0.0391893157523297
E1_L0_C1,1,0,1,0.0833333333333333,-0.0234537851603244,0.1901204518269912,0.0472058795249955
E1_L1_C0,1,1,0,0.1133333333333333,0.02468094199904,0.2019857246676266,0.0391893157523297
E1_L1_C1,1,1,1,0.0833333333333333,-0.0234537851603244,0.1901204518269912,0.0472058795249955
