seed,condition,acceptance_rate,completion_rate,quality_accepted,resource_accepted
1000,R3,0.274468085106383,0.08297872340425531,0.4506658696936411,0.4962717375228781
1000,R3_random,0.26865671641791045,0.07462686567164178,0.4351537864001282,0.49619825569255993
1001,R3,0.2935222672064777,0.10728744939271255,0.47531890224962464,0.41521452378869894
1001,R3_random,0.2993762993762994,0.10187110187110188,0.44808220101722385,0.434209156459094
1002,R3,0.242914979757085,0.06680161943319839,0.42800606885037723,0.5146218216461117
1002,R3_random,0.23828920570264767,0.05091649694501019,0.43053349515872014,0.4938302464178128
1003,R3,0.3039832285115304,0.07127882599580712,0.43004586194208994,0.4679372287621649
1003,R3_random,0.2997946611909651,0.08008213552361396,0.4395842208762347,0.48389617105223204
1004,R3,0.3178947368421053,0.0863157894736842,0.45017609619922583,0.48782642805214355
1004,R3_random,0.30462184873949577,0.09873949579831932,0.44800379640589166,0.46594062268113673
1005,R3,0.28509719222462204,0.1101511879049676,0.47863104480597357,0.47346611284937884
1005,R3_random,0.3065217391304348,0.07391304347826087,0.42933778226914804,0.4758082692723619
1006,R3,0.2681912681912682,0.079002079002079,0.4379664739103715,0.5099843517465393
1006,R3_random,0.23684210526315788,0.06072874493927125,0.42048772693659403,0.5345053873956166
1007,R3,0.2821576763485477,0.08298755186721991,0.4306658256874538,0.5241644421174416
1007,R3_random,0.2827868852459016,0.07172131147540983,0.4357376189451974,0.5392278865433158
1008,R3,0.2769556025369979,0.08456659619450317,0.45309815534398623,0.5339733704329631
1008,R3_random,0.2648305084745763,0.0614406779661017,0.426917186090599,0.5294741324379931
1009,R3,0.3404710920770878,0.11349036402569593,0.4643451023268389,0.47648601129438434
1009,R3_random,0.28361344537815125,0.07773109243697479,0.4417513528931759,0.4885825686073666
1010,R3,0.32233009708737864,0.07961165048543689,0.43850990363676373,0.4625796904779487
1010,R3_random,0.3101391650099404,0.08151093439363817,0.44525008731544946,0.47023389011943995
1011,R3,0.25157232704402516,0.07337526205450734,0.4099869914646509,0.49728059937183267
1011,R3_random,0.22954091816367264,0.0499001996007984,0.4058689210964866,0.4949627540570946
1012,R3,0.27074235807860264,0.08296943231441048,0.4569508018241925,0.4237535470623407
1012,R3_random,0.31868131868131866,0.09010989010989011,0.44726840983777305,0.46606965820240315
1013,R3,0.2543859649122807,0.06359649122807018,0.4345587680289265,0.4520073769100628
1013,R3_random,0.3010752688172043,0.08602150537634409,0.43307839213115806,0.46439591605411346
1014,R3,0.23142250530785563,0.04883227176220807,0.41478029974766356,0.46184409381083574
1014,R3_random,0.25910064239828695,0.05139186295503212,0.3937870700429299,0.4829247155026055
1015,R3,0.2723404255319149,0.05531914893617021,0.4148074295134858,0.4829134761039017
1015,R3_random,0.23706896551724138,0.0668103448275862,0.4483588134142269,0.500604809196494
1016,R3,0.3065217391304348,0.07608695652173914,0.4174068724052771,0.467915741453157
1016,R3_random,0.2841648590021692,0.07809110629067245,0.4370488178054159,0.47715748764638044
1017,R3,0.2261640798226164,0.050997782705099776,0.4315950366032217,0.5220831439152049
1017,R3_random,0.24008810572687225,0.08370044052863436,0.4472019982221407,0.5082616835159061
1018,R3,0.29809725158562367,0.10782241014799154,0.48274454920095433,0.5177648135073964
1018,R3_random,0.2851063829787234,0.10425531914893617,0.46737728623519054,0.5150869294598246
1019,R3,0.25862068965517243,0.08836206896551724,0.45557216792136473,0.5126400401304756
1019,R3_random,0.26371308016877637,0.056962025316455694,0.4083758490990179,0.5040800655740434
